Sample,Station,Easting,Northing,Rock_elevation_mASL,Local_drift_thickness(m)
07-AG-003,W0000370-1,485719,4768250,250,22.1
07-AG-004,W0000437-1,485282,4766213,244,33.3
07-AG-005,W0000053-1,499632,4767030,261,27.6
07-AG-006,W0000201-3,512718,4773497,285,20.9
07-AG-007,07-AG-007,512714,4773499,285,20.9
07-AG-008,W0000369-3,506703,4780000,282,43.6
07-AG-009,W0000369-2,506699,4779995,282,43.6
07-AG-010,W0000217-2,,,,44.5
07-AG-011,07-AG-011,,,,35.7
07-AG-012,07-AG-012,,,,25.7
07-AG-013,07-AG-013,465611,4753498,182,30.9
07-AG-014,07-AG-014,502000,4768500,269,30.9
07-AG-015,07-AG-015,504800,4764800,260,27.3
07-AG-016,07-AG-016,513000,4763900,249,53.3
07-AG-017,07-AG-017,514900,4765800,256,49.7
07-AG-018,07-AG-018,498500,4757700,235,26
07-AG-019,07-AG-019,498000,4782600,295,78.7
07-AG-020,07-AG-020,497600,4784000,304,69.3
07-AG-021,07-AG-021,503400,4783100,289,69
07-AG-022,07-AG-022,501700,4783600,291,64.2
